company,title,location,job_url,site,source,age_posted,age_days,requires_sponsorship,requires_citizenship,is_closed,is_faang,requires_advanced_degree,job_type,description,date_posted,collected_at
Trexquant,Software Engineer – Early Career,"Stamford, CT",https://apply.workable.com/trexquant/j/11DC4EA360/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Trexquant. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008881
Jahnel Group,Associate Software Engineer,"Schenectady, NY",https://www.jahnelgroup.com/apply.html?gh_jid=4160702007&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,False,False,False,False,False,fulltime,New graduate position at Jahnel Group. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.008901
Leidos,Junior Software Engineer,"Omaha, NE",https://leidos.wd5.myworkdayjobs.com/External/job/Omaha-NE/Junior-Software-Engineer_R-00166200?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Leidos. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008920
Epic,Infrastructure Engineer,"Madison, WI",https://epic.avature.net/Careers/FolderDetail/Infrastructure-Engineer/23505?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,False,False,False,False,False,fulltime,New graduate position at Epic. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.008939
Verkada,Frontend Software Engineer – University Graduate 2026,"San Mateo, CA",https://job-boards.greenhouse.io/verkada/jobs/4855439007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Verkada. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008958
Decagon,Agent Software Engineer – New Grad - 2026 Start,NYC,https://jobs.ashbyhq.com/decagon/95a4707d-1def-481a-bb78-38a4b22b6891/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Decagon. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008982
Esri,Product Engineer 1 - User Assistance - Workflow Manager,"West Redlands, Redlands, CA",https://www.esri.com/careers/4847546007?gh_jid=4847546007&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Esri. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009001
Decagon,Software Engineer - New Grad,San FranciscoNew York,https://jobs.ashbyhq.com/decagon/2a435dd5-1212-42bb-ae5a-d7432902acd2?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at Decagon. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.009020
Valkyrie Trading,Junior Software Engineer,"Chicago, IL",https://jobs.lever.co/valkyrietrading/b9907031-0625-49f9-9fbe-7b5618e3640c/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Valkyrie Trading. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009039
WhatNot,Software Engineer – 2026 New Grad,SFLANYC,https://jobs.ashbyhq.com/whatnot/bc8f8c7f-2c4c-4f43-a238-953568c101b8/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at WhatNot. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009060
OffDeal,Founding Full Stack Engineer,NYC,https://jobs.ashbyhq.com/offdeal/92b99c6b-e4e1-4e18-8a21-01b341cd1a1a/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at OffDeal. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009079
Hewlett Packard Enterprise,Software Engineering Graduate,"Ft. Collins, CO",https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Ft-Collins-Colorado-United-States-of-America/Software-Engineering-Graduate--Colorado-_1193615-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Hewlett Packard Enterprise. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009097
🔥 SpaceX,"New Graduate Engineer, Software (Starship)","Starbase, TX",https://job-boards.greenhouse.io/spacex/jobs/8144023002?gh_jid=8144023002&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at 🔥 SpaceX. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009116
🔥 Stripe,Software Engineer,"San Francisco, CASeattle, WA",https://stripe.com/jobs/listing/software-engineer-new-grad/7210112?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Stripe. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009149
2K,US Engineering Graduate Program,"Novato, CA",https://job-boards.greenhouse.io/2k/jobs/6688546003?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 2K. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009166
Eluvio,Software Engineer New Grad - Msc/Bsc: AI - Core - Apps,"Berkeley, CA",https://apply.workable.com/eluvio/j/A349A0D2AF/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Eluvio. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009185
Decagon,Agent Software Engineer – New Grad - 2026 Start,SF,https://jobs.ashbyhq.com/decagon/2a435dd5-1212-42bb-ae5a-d7432902acd2/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Decagon. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009204
Glean,Software Engineer – University Grad,"Palo Alto, CASF",https://job-boards.greenhouse.io/gleanwork/jobs/4592324005?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Glean. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009224
Dover,Product Engineer - Entry Level,"Allerton, IAOttumwa, IA",https://careers.dovercorporation.com/job/Keosauqua-Product-Engineer-IA-52565/1243842701/?ats=successfactors&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Dover. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009243
TripAdvisor,Software Engineer I - Frontend Focus - Viator,"London, UKOxford, UK",https://job-boards.greenhouse.io/tripadvisor/jobs/6977655?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at TripAdvisor. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009262
Ivo,Software Engineer,"San Francisco, CA",https://jobs.lever.co/ivo/1629cbb2-c07c-4214-a1e2-b4e96c9cc66c?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Ivo. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009280
🔥 Stripe,Software Engineer – New Grad,"Seattle, WASF",https://stripe.com/jobs/search?gh_jid=7210112&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Stripe. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009299
🔥 Roblox,Software Engineer – Early Career,"Vancouver, BC, Canada",https://careers.roblox.com/jobs/7206214?gh_jid=7206214&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Roblox. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009355
🔥 IBM,Software Developer,"14 locationsSandy Springs, GAPoughkeepsie, NYLowell, MARochester, MNTucson, AZResearch Triangle Park, NCDurham, NCHopewell Junction, NYSan Jose, CADallas, TXHouston, TXAustin, TXHerndon, VANew York, NY",https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=56285&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at 🔥 IBM. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.009381
Sierra,Software Engineer – New Grad - Agent,SF,https://jobs.ashbyhq.com/Sierra/6a75b530-b7bb-4439-bb67-37b4f2b75b96/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Sierra. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009400
🔥 Oracle,Undergrad Software Engineer - Oracle Cloud Infrastructure (OCI),"Seattle, WA",https://careers.oracle.com/en/sites/jobsearch/job/305990?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at 🔥 Oracle. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.009419
🔥 TikTok,AI/ML Software Engineer Graduate (Data Platform TikTok BP),"San Jose, CA",https://lifeattiktok.com/search/7541178634444589319?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 TikTok. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009454
🔥 ByteDance,Machine Learning Graduate (eCommerce User Growth & Intelligent Marketing),"San Jose, CA",https://joinbytedance.com/search/7542657938525538578?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 ByteDance. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009507
🔥 Samsara,New Grad – Software Engineering,SF,https://www.samsara.com/company/careers/roles/7172579?gh_jid=7172579&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Samsara. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009552
Abridge,Full Stack Engineering,"San Francisco, CA",https://jobs.ashbyhq.com/abridge/55958eb5-109f-4e88-9793-ed2327fc753a?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Abridge. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009573
Cape,Software Engineer,"New York, NYWashington, DC",https://jobs.ashbyhq.com/Cape/bd280ded-4298-47de-a186-1aebd1bd94b8?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Cape. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009592
Susquehanna,Software Developer,"Lower Merion Township, PA",https://careers-sig.icims.com/jobs/9716/software-developer---sprc---new-grad/job?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Susquehanna. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009611
Abridge,Full Stack Engineer - New Grad - Product Engineering - Typescript - React - Next.js,SF,https://jobs.ashbyhq.com/abridge/55958eb5-109f-4e88-9793-ed2327fc753a/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Abridge. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009630
🔥 Adobe,2026 University Graduate - Software Engineer,"7 locationsSeattle, WASFAustin, TXSan Jose, CAWaltham, MANYCLehi, UT",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Software-Engineer_R158684?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Adobe. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009654
GM financial,Software Development Engineer I,"Arlington, TX",https://fa-exvu-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/557?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at GM financial. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009673
Zip,Software Engineer – New Grad - 2026 Start,"Toronto, ON, Canada",https://jobs.ashbyhq.com/zip/ab7f23fa-a07e-4061-9400-622d56de67e4/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Zip. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009692
YouVersion,Associate Software Engineer,"Edmond, OK",https://jobs.lever.co/life/99fdfce1-f0d6-48f8-8ad8-b22b4d6561bf?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at YouVersion. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009710
Nodal,Software Engineer,"Tysons Corner, VA",https://nodalexchange.pinpointhq.com/postings/7dfa5f35-8585-4681-bad7-5f26b87bdc47?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Nodal. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009728
Vail,"Software Engineer, Test & Infrastructure I","Chicago, IL",https://jobs.lever.co/vailsys/aac4a828-c88d-4bc1-bf94-324e7ba4ddc9?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Vail. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009747
Applied Intuition,Software Engineer – New Grad,"Ann Arbor, MI",https://boards.greenhouse.io/appliedintuition/jobs/4600028005?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Applied Intuition. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009767
Nominal,Software Engineer,"New York, NYLos Angeles, CAAustin, TX",https://jobs.lever.co/nominal/cc79d7f9-93b9-4410-8435-d92d2f427215?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at Nominal. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009801
🔥 Oracle,Undergrad Cloud Engineer - Full-time Intern Conversion,"Redwood City, CA",https://careers.oracle.com/en/sites/jobsearch/job/305127?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at 🔥 Oracle. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.009824
🔥 TikTok,Software Engineer Graduate (Video-on-Demand Algorithm),"San Jose, CA",https://lifeattiktok.com/search/7538319953965287698?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 TikTok. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009843
🔥 ByteDance,Software Engineer in ML Systems Graduate,"San Jose, CA",https://joinbytedance.com/search/7265752342699837757?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 ByteDance. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009874
🔥 Palantir,Software Engineer – New Grad - Infrastructure,"Palo Alto, CA",https://jobs.lever.co/palantir/7d75bed5-45d8-4876-840a-2d92ea79c98d/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Palantir. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009894
🔥 ByteDance,Software Engineer Graduate (Edge Platform),"San Jose, CA",https://joinbytedance.com/search/7538120693880834322?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 ByteDance. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009912
🔥 TikTok,Software Engineer Graduate (Commerce Ads),"San Jose, CA",https://lifeattiktok.com/search/7538213896365689096?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 TikTok. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009930
Robin,Associate Software Engineer (AI-Native),"Boston, MA",https://jobs.lever.co/robinpowered/5b7a72e0-480a-49b6-a4cf-78ee0c6b6ce9?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Robin. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.009973
Canonical,Software Engineer - Python - Cloud,Remote in USA,https://job-boards.greenhouse.io/canonical/jobs/3257589?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at Canonical. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.009992
Prosidian Consulting,ITSM IT Security Engineer I,"Boulder, CO",https://jobs.smartrecruiters.com/prosidianconsulting/743999691983726?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Prosidian Consulting. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010011
Anduril,Early Career Software Engineer,"Washington, DC",https://boards.greenhouse.io/andurilindustries/jobs/4824369007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Anduril. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010045
The Travelers Companies,Software Engineer I - AWS/Node/React/AI,"Atlanta, GA",https://travelers.wd5.myworkdayjobs.com/External/job/GA---Atlanta/Software-Engineer-I--AWS-Node-React-AI-_R-46114?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at The Travelers Companies. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010064
Suno,Software Engineer – Early Career,"Boston, MANew York, NY",https://jobs.ashbyhq.com/suno/991c9785-9bd5-499a-98aa-146e8c947752/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Suno. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010100
Anduril,Early Career Software Engineer,"Boston, MA",https://boards.greenhouse.io/andurilindustries/jobs/4824362007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Anduril. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010123
Anduril Industries,Early Career Software Engineer,"Atlanta, GA",https://job-boards.greenhouse.io/andurilindustries/jobs/4824378007?gh_jid=4824378007&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at Anduril Industries. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010156
🔥 ByteDance,Software Engineer Graduate (Dev Infra) - 2026 Start (BS/MS),"San Jose, CA",https://joinbytedance.com/search/7536272435440716040?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 ByteDance. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010200
AG Technologies,Hiring Entry Level Software Engineer,"Chesterfield, MO",https://jobs.smartrecruiters.com/AGTechnologies1/112718194?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,True,fulltime,New graduate position at AG Technologies. Visa sponsorship may be available. Advanced degree (Master's/PhD) required. ,2025-11-07,2025-11-07T10:09:52.010221
Apex Fintech Solutions,Software Engineer I (ALDP),"Austin, TX",https://peak6group.wd1.myworkdayjobs.com/en-US/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103414-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Apex Fintech Solutions. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010383
Folia Health,Junior Software Engineer,"Boston, MA",https://job-boards.greenhouse.io/foliahealth/jobs/4013590009?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at Folia Health. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.010401
Sev1Tech,Software Developer - Entry Level,"Fort Sill, OK",https://careers-sev1tech.icims.com/jobs/9092/software-developer---entry-level/job?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at Sev1Tech. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010419
BRM,Entry Level Software Engineer,"San Francisco, CA",https://jobs.ashbyhq.com/brm.ai/05cad7f7-2194-480d-8e70-7338cfd2a189?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at BRM. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010438
Citadel Securities,C++ Software Engineer,"Miami, FLLondon, UK",https://www.citadelsecurities.com/careers/details/c-software-engineer-4/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Citadel Securities. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010456
Suno,Software Engineer,"Boston, MANew York, NY",https://jobs.ashbyhq.com/suno/991c9785-9bd5-499a-98aa-146e8c947752?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,False,False,False,False,False,fulltime,New graduate position at Suno. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.010475
Apex Fintech Solutions,Software Engineer I - Aldp,"Austin, TX",https://peak6group.wd1.myworkdayjobs.com/apexfintechsolutions/job/Austin-TX/Software-Engineer-I--ALDP-_JR103414-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Apex Fintech Solutions. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010495
AG Technologies,Hiring Entry Level Software Engineer,"San Francisco, CA",https://jobs.smartrecruiters.com/AGTechnologies1/743999655719751?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at AG Technologies. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010514
Applied Intuition,Software Engineer,"Mountain View, CA",https://job-boards.greenhouse.io/appliedintuition/jobs/4592025005?gh_jid=4592025005&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Applied Intuition. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010532
AG Technologies,Entry Level Software Engineer,"Chesterfield, MO",https://jobs.smartrecruiters.com/AGTechnologies1/100730616?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,True,fulltime,New graduate position at AG Technologies. Visa sponsorship may be available. Advanced degree (Master's/PhD) required. ,2025-11-07,2025-11-07T10:09:52.010552
Applied Intuition,Software Engineer - New Grad,"Mountain View, CA",https://job-boards.greenhouse.io/appliedintuition/jobs/4592025005?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,False,fulltime,New graduate position at Applied Intuition. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010585
Anduril Industries,Early Career Software Engineer,"Seattle, WA",https://boards.greenhouse.io/andurilindustries/jobs/4824364007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at Anduril Industries. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010605
AG Technologies,Hiring Entry Level Software Engineer,"San Jose, CA",https://jobs.smartrecruiters.com/AGTechnologies1/743999655794970?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,True,fulltime,New graduate position at AG Technologies. Visa sponsorship may be available. Advanced degree (Master's/PhD) required. ,2025-11-07,2025-11-07T10:09:52.010625
Prosidian Consulting,ITSM IT Security Engineer I,"Washington, DC",https://jobs.smartrecruiters.com/prosidianconsulting/743999691677974?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at Prosidian Consulting. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010645
Anduril Industries,"Software Engineer, Connected Warfare","Costa Mesa, CA",https://job-boards.greenhouse.io/andurilindustries/jobs/4776690007?gh_jid=4776690007&gh_src=&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,True,False,False,False,fulltime,New graduate position at Anduril Industries. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010664
AG Technologies,Hiring Entry Level Software Engineer,"San Diego, CA",https://jobs.smartrecruiters.com/AGTechnologies1/743999652483007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,2mo,,True,False,False,False,True,fulltime,New graduate position at AG Technologies. Visa sponsorship may be available. Advanced degree (Master's/PhD) required. ,2025-11-07,2025-11-07T10:09:52.010696
🔥 Databricks,Software Engineer – New Grad - Distributed Data Systems - 2025 Start,"Bellevue, WAMountain View, CA",https://boards.greenhouse.io/embed/job_app?token=6865704002&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Databricks. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010801
🔥 TikTok,Software Engineer Graduate Social - 2026 Start,"Los Angeles, CA",https://lifeattiktok.com/search/7532626482364909842?spread=5MWH5CQ&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 TikTok. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010834
🔥 Roblox,Software Engineer – Early Career,"San Mateo, CA",https://careers.roblox.com/jobs/7114754?gh_jid=7114754&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Roblox. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010866
Five Rings,Software Developer,"New York, NY",https://job-boards.greenhouse.io/fiveringsllc/jobs/4816999008?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at Five Rings. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010883
BRM,Entry Level Software Engineer,"San Francisco, CA",https://jobs.ashbyhq.com/brm.ai/05cad7f7-2194-480d-8e70-7338cfd2a189/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,3mo,,True,False,False,False,False,fulltime,New graduate position at BRM. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.010902
